,nct_id,version_date,document_type,document_date,upload_date,no_sap
2826,NCT03036839,2019-11-15,Statistical Analysis Plan,"November 6, 2018",10/04/2019 17:58,
2827,NCT03052764,2019-12-09,Statistical Analysis Plan,"March 7, 2019",12/09/2019 16:50,
2828,NCT03052764,2019-12-09,Study Protocol,"May 8, 2018",12/09/2019 16:50,
2829,NCT03053492,2020-07-31,Study Protocol,"April 25, 2018",01/30/2020 09:24,
2830,NCT03053492,2020-07-31,Statistical Analysis Plan,"April 25, 2018",07/14/2020 16:27,
2831,NCT03076515,2020-10-19,Study Protocol and Statistical Analysis Plan,"February 14, 2017",09/10/2019 08:19,
2832,NCT03077893,2019-07-11,Study Protocol and Statistical Analysis Plan,"June 16, 2017",05/31/2019 16:02,
2833,NCT03079531,2020-01-17,Study Protocol and Statistical Analysis Plan,"August 15, 2017",01/09/2020 12:58,
2834,NCT03085238,2020-01-14,Study Protocol,"September 12, 2017",12/12/2019 19:56,
2835,NCT03085238,2020-01-14,Statistical Analysis Plan,"September 10, 2019",12/12/2019 19:57,
2836,NCT03089580,2019-09-18,Study Protocol and Statistical Analysis Plan,"July 12, 2019",09/18/2019 11:10,
2837,NCT03094325,2020-03-17,Study Protocol and Statistical Analysis Plan,"December 6, 2016",07/15/2019 16:34,
2838,NCT03095456,2018-12-06,Statistical Analysis Plan,"November 27, 2017",11/30/2018 01:53,
2839,NCT03095456,2018-12-06,Study Protocol,"April 4, 2017",12/01/2018 21:36,
2840,NCT03098433,2020-04-23,Informed Consent Form,"September 25, 2019",04/23/2020 09:42,
2841,NCT03107026,2020-06-11,Study Protocol,"November 17, 2017",06/11/2020 14:39,
2842,NCT03107026,2020-06-11,Statistical Analysis Plan,"June 22, 2018",06/11/2020 14:40,
2843,NCT03114488,2020-01-28,Study Protocol and Statistical Analysis Plan,"January 19, 2018",01/28/2020 11:49,
2844,NCT03118739,2019-12-18,Study Protocol and Statistical Analysis Plan,"September 13, 2018",05/17/2019 16:39,
2845,NCT03124784,2018-02-23,Study Protocol and Statistical Analysis Plan,"September 22, 2015",01/19/2018 15:27,
2846,NCT03139279,2019-06-27,Study Protocol and Statistical Analysis Plan,"February 21, 2018",06/27/2019 16:12,
2847,NCT03146741,2020-01-08,Informed Consent Form,"February 11, 2019",01/08/2020 11:21,
2848,NCT03146741,2020-01-08,Study Protocol and Statistical Analysis Plan,"February 6, 2018",01/08/2020 11:22,
2849,NCT03160885,2020-08-07,Statistical Analysis Plan,"June 14, 2019",08/06/2020 02:24,
2850,NCT03160885,2020-08-07,Study Protocol,"August 14, 2018",08/06/2020 02:25,
2851,NCT03165747,2020-03-02,Study Protocol and Statistical Analysis Plan,"October 17, 2018",02/18/2020 12:46,
2852,NCT03168308,2020-02-17,Study Protocol and Statistical Analysis Plan,"December 7, 2018",02/17/2020 17:20,
2853,NCT03170154,2020-02-26,Statistical Analysis Plan,"March 1, 2018",02/10/2020 09:09,
2854,NCT03170154,2020-02-26,Study Protocol,"February 19, 2018",02/11/2020 08:11,
2855,NCT03171415,2019-08-08,Study Protocol,"March 4, 2018",05/30/2019 03:04,
2856,NCT03171415,2019-08-08,Statistical Analysis Plan,"November 14, 2018",05/30/2019 03:06,
2857,NCT03187678,2019-05-20,Study Protocol,"January 27, 2017",04/19/2019 05:28,
2858,NCT03187678,2019-05-20,Statistical Analysis Plan,"July 2, 2018",04/19/2019 05:28,
2859,NCT03194373,2020-01-20,Study Protocol and Statistical Analysis Plan,"October 4, 2018",01/16/2020 13:36,
2860,NCT03194776,2020-01-21,Study Protocol,"November 1, 2017",12/16/2019 14:15,
2861,NCT03194776,2020-01-21,Statistical Analysis Plan,"February 8, 2019",12/16/2019 14:16,
2862,NCT03196349,2019-07-26,Statistical Analysis Plan,"July 11, 2018",07/09/2019 14:33,
2863,NCT03196349,2019-07-26,Study Protocol,"September 21, 2018",07/09/2019 14:37,
2864,NCT03196349,2019-07-26,Informed Consent Form,"August 8, 2018",07/09/2019 14:38,
2865,NCT03198507,2020-02-28,Statistical Analysis Plan,"February 6, 2019",01/21/2020 07:26,
2866,NCT03198507,2020-02-28,Study Protocol,"March 22, 2018",02/20/2020 05:16,
2867,NCT03204279,2020-12-03,Study Protocol and Statistical Analysis Plan,"February 11, 2019",11/17/2020 09:28,
2868,NCT03206788,2020-09-24,Study Protocol and Statistical Analysis Plan,"February 1, 2019",09/23/2020 11:56,
2869,NCT03211858,2019-07-16,Study Protocol,"December 13, 2017",07/16/2019 06:18,
2870,NCT03211858,2019-07-16,Statistical Analysis Plan,"February 28, 2018",07/16/2019 06:19,
2871,NCT03219866,2020-10-27,Informed Consent Form,"January 18, 2020",10/27/2020 14:37,
2872,NCT03231800,2020-06-04,Study Protocol,"November 19, 2017",06/04/2020 11:16,
2873,NCT03231800,2020-06-04,Statistical Analysis Plan,"March 26, 2019",06/04/2020 11:18,
2874,NCT03235414,2020-08-12,Study Protocol and Statistical Analysis Plan,"April 18, 2019",08/12/2020 13:12,
2875,NCT03235414,2020-08-12,Informed Consent Form,"July 30, 2018",08/12/2020 13:13,
2876,NCT03238352,2018-10-15,Study Protocol,"May 25, 2017",09/12/2018 00:05,
2877,NCT03238352,2018-10-15,Statistical Analysis Plan,"October 5, 2017",09/12/2018 00:24,
2878,NCT03238781,2020-01-24,Study Protocol,"October 17, 2017",01/24/2020 17:01,
2879,NCT03238781,2020-01-24,Statistical Analysis Plan,"October 31, 2018",01/24/2020 17:01,
2880,NCT03245853,2018-01-23,Study Protocol,"March 10, 2017",08/09/2017 12:22,
2881,NCT03245853,2018-01-23,Informed Consent Form,"March 16, 2017",08/09/2017 12:23,
2882,NCT03246061,2020-11-02,Study Protocol and Statistical Analysis Plan,"October 17, 2018",10/12/2020 15:26,
2883,NCT03257995,2019-03-28,Statistical Analysis Plan,"April 16, 2018",01/08/2019 19:49,
2884,NCT03257995,2019-03-28,Study Protocol,"February 27, 2017",01/08/2019 19:49,
2885,NCT03266094,2020-03-28,Study Protocol and Statistical Analysis Plan,"March 18, 2019",01/06/2020 15:17,
2886,NCT03269643,2019-04-12,Study Protocol and Statistical Analysis Plan,"July 7, 2017",04/01/2019 13:00,
2887,NCT03275623,2020-03-19,Study Protocol and Statistical Analysis Plan,"August 22, 2017",02/27/2020 16:22,
2888,NCT03276026,2019-05-23,Study Protocol and Statistical Analysis Plan,"January 29, 2018",05/09/2019 13:07,
2889,NCT03277378,2020-12-09,Study Protocol and Statistical Analysis Plan,"October 4, 2019",10/06/2019 23:24,
2890,NCT03280550,2020-02-14,Study Protocol,"October 11, 2017",02/14/2020 15:31,
2891,NCT03280550,2020-02-14,Statistical Analysis Plan,"April 15, 2019",02/14/2020 15:31,
2892,NCT03285555,2020-08-17,Study Protocol and Statistical Analysis Plan,"May 4, 2018",08/17/2020 13:07,
2893,NCT03285711,2020-05-01,Study Protocol,"March 21, 2018",04/02/2020 11:03,
2894,NCT03285711,2020-05-01,Statistical Analysis Plan,"January 28, 2020",04/02/2020 11:04,
2895,NCT03287869,2020-08-14,Study Protocol,"October 23, 2017",08/14/2020 08:44,
2896,NCT03287869,2020-08-14,Statistical Analysis Plan,"July 17, 2019",08/14/2020 08:45,
2897,NCT03297658,2020-02-14,Study Protocol and Statistical Analysis Plan,"September 20, 2017",09/25/2017 10:13,
2898,NCT03300674,2020-07-29,Study Protocol and Statistical Analysis Plan,"August 2, 2018",07/28/2020 15:09,
2899,NCT03304873,2020-02-24,Study Protocol and Statistical Analysis Plan,"June 20, 2018",02/24/2020 14:03,
2900,NCT03314519,2020-03-10,Statistical Analysis Plan,"February 23, 2020",02/23/2020 22:39,
2901,NCT03314519,2020-03-10,Study Protocol,"March 10, 2020",03/10/2020 05:04,
2902,NCT03318315,2020-07-16,Study Protocol,"September 18, 2018",07/16/2020 12:57,
2903,NCT03318315,2020-07-16,Statistical Analysis Plan,"November 14, 2018",07/16/2020 12:57,
2904,NCT03329690,2020-11-03,Study Protocol and Statistical Analysis Plan,"July 3, 2020",10/26/2020 17:12,
2905,NCT03333317,2019-11-18,Study Protocol,"August 21, 2017",10/14/2019 06:29,
2906,NCT03333317,2019-11-18,Statistical Analysis Plan,"December 11, 2017",10/14/2019 06:29,
2907,NCT03335761,2020-11-03,Study Protocol,"August 23, 2018",10/30/2020 10:41,
2908,NCT03335761,2020-11-03,Statistical Analysis Plan,"March 5, 2019",10/30/2020 10:43,
2909,NCT03340883,2020-06-19,Study Protocol,"November 13, 2018",06/19/2020 02:03,
2910,NCT03340883,2020-06-19,Statistical Analysis Plan,"July 18, 2019",06/19/2020 02:04,
2911,NCT03345407,2020-01-15,Study Protocol,"December 14, 2017",11/26/2019 00:26,
2912,NCT03345407,2020-01-15,Statistical Analysis Plan,"October 10, 2018",11/26/2019 00:28,
2913,NCT03350503,2020-05-01,Statistical Analysis Plan,"August 7, 2017",12/02/2019 07:45,
2914,NCT03350503,2020-05-01,Study Protocol,"September 22, 2018",05/01/2020 14:44,
2915,NCT03351231,2019-09-19,Study Protocol and Statistical Analysis Plan,"October 31, 2017",09/19/2019 15:09,
2916,NCT03352609,2019-09-20,Study Protocol and Statistical Analysis Plan,"January 30, 2018",09/20/2019 17:34,
2917,NCT03357952,2019-10-18,Statistical Analysis Plan,"September 25, 2018",10/18/2019 07:54,
2918,NCT03357952,2019-10-18,Study Protocol,"June 20, 2018",10/18/2019 07:54,
2919,NCT03358576,2020-10-12,Study Protocol,"May 29, 2018",10/01/2020 17:12,
2920,NCT03358576,2020-10-12,Statistical Analysis Plan,"December 6, 2019",10/12/2020 08:33,
2921,NCT03360110,2019-06-03,Study Protocol and Statistical Analysis Plan,"September 28, 2017",05/09/2019 15:33,
2922,NCT03361176,2019-05-08,Study Protocol and Statistical Analysis Plan,"August 3, 2017",02/20/2019 15:33,
2923,NCT03391986,2019-08-29,Study Protocol and Statistical Analysis Plan,"April 17, 2018",04/05/2019 14:12,
2924,NCT03422159,2020-11-11,Study Protocol,"May 13, 2019",07/30/2020 15:31,
2925,NCT03422159,2020-11-11,Informed Consent Form,"May 31, 2018",07/30/2020 15:32,
2926,NCT03422159,2020-11-11,Statistical Analysis Plan,"May 13, 2019",11/11/2020 13:20,
2927,NCT03423082,2020-10-06,Study Protocol and Statistical Analysis Plan,"October 19, 2016",10/06/2020 10:08,
2928,NCT03425253,2020-12-04,Statistical Analysis Plan,"February 21, 2020",12/04/2020 17:28,
2929,NCT03425253,2020-12-04,Study Protocol,"March 21, 2018",12/04/2020 17:28,
2930,NCT03428997,2019-07-30,Study Protocol and Statistical Analysis Plan,"February 10, 2017",01/25/2019 09:55,
2931,NCT03429270,2020-05-11,Study Protocol,"June 26, 2018",05/11/2020 14:56,
2932,NCT03429270,2020-05-11,Statistical Analysis Plan,"July 9, 2018",05/11/2020 14:56,
2933,NCT03434119,2020-01-09,Study Protocol,"December 18, 2017",12/24/2019 11:56,
2934,NCT03434119,2020-01-09,Statistical Analysis Plan,"February 28, 2019",12/24/2019 11:58,
2935,NCT03444766,2020-10-16,Statistical Analysis Plan,"May 7, 2019",10/16/2020 14:23,
2936,NCT03444766,2020-10-16,Study Protocol,"November 16, 2017",10/16/2020 14:23,
2937,NCT03445390,2019-02-06,Study Protocol,"May 29, 2013",09/19/2018 13:48,No Statistical Analysis Plan (SAP) exists for this study.
2938,NCT03453151,2020-06-15,Study Protocol and Statistical Analysis Plan,"June 2, 2020",06/15/2020 13:25,
2939,NCT03478696,2020-01-30,Statistical Analysis Plan,"April 16, 2019",01/28/2020 06:40,
2940,NCT03478696,2020-01-30,Study Protocol,"July 17, 2018",01/30/2020 04:19,
2941,NCT03479697,2018-04-02,Study Protocol and Statistical Analysis Plan,"February 16, 2018",03/06/2018 10:33,
2942,NCT03491046,2018-03-30,Study Protocol,"March 13, 2013",03/26/2018 13:23,
2943,NCT03500159,2018-12-20,Statistical Analysis Plan,"June 25, 2018",12/12/2018 16:31,
2944,NCT03500159,2018-12-20,Study Protocol,"March 8, 2018",12/20/2018 16:19,
2945,NCT03501966,2018-10-10,Informed Consent Form,"October 1, 2018",10/05/2018 15:37,
2946,NCT03503578,2019-10-01,Study Protocol and Statistical Analysis Plan,"February 24, 2018",08/01/2019 15:21,
2947,NCT03508609,2020-11-17,Study Protocol,"August 26, 2019",11/17/2020 17:18,
2948,NCT03508609,2020-11-17,Statistical Analysis Plan,"May 25, 2020",11/17/2020 17:19,
2949,NCT03514277,2020-12-10,Study Protocol and Statistical Analysis Plan,"October 13, 2016",12/10/2020 15:06,
2950,NCT03537092,2020-01-08,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","September 20, 2017",12/18/2019 11:29,
2951,NCT03548779,2018-06-06,Informed Consent Form: 7-14 Assent Form 1 Randomization to Research,"February 28, 2018",05/18/2018 15:16,
2952,NCT03548779,2018-06-06,Informed Consent Form: 7-14 Assent Form 2 Assent to Research,"February 28, 2018",05/18/2018 15:33,
2953,NCT03548779,2018-06-06,Informed Consent Form: 15-17 Assent Form 1 Randomization to Research,"February 28, 2018",05/18/2018 15:42,
2954,NCT03548779,2018-06-06,Informed Consent Form: 15-17 Assent Form 2 Assent to Research,"February 28, 2018",05/18/2018 15:43,
2955,NCT03548779,2018-06-06,Informed Consent Form: Consent Form 1 Randomization to Research,"February 28, 2018",05/18/2018 15:44,
2956,NCT03548779,2018-06-06,Informed Consent Form: Consent Form 2 Assent to Research,"February 28, 2018",05/18/2018 15:45,
2957,NCT03558555,2020-01-29,Study Protocol and Statistical Analysis Plan,"December 2, 2019",01/29/2020 09:53,
2958,NCT03560258,2019-10-29,Informed Consent Form,"March 9, 2018",10/29/2019 14:55,
2959,NCT03563716,2020-06-19,Study Protocol and Statistical Analysis Plan,"February 6, 2020",06/19/2020 14:23,
2960,NCT03565211,2020-07-22,Study Protocol,"August 9, 2019",07/22/2020 15:09,
2961,NCT03565211,2020-07-22,Statistical Analysis Plan,"August 9, 2019",07/22/2020 15:11,
2962,NCT03592368,2020-01-06,Informed Consent Form,"July 12, 2019",01/06/2020 13:31,
2963,NCT03603028,2020-01-13,Study Protocol,"June 24, 2019",12/04/2019 12:47,No Statistical Analysis Plan (SAP) exists for this study.
2964,NCT03624920,2020-09-27,Study Protocol,"February 27, 2019",09/15/2020 05:17,
2965,NCT03624920,2020-09-27,Statistical Analysis Plan,"February 21, 2020",09/15/2020 05:18,
2966,NCT03632447,2019-08-27,Study Protocol,"April 18, 2018",12/10/2018 16:30,
2967,NCT03632447,2019-08-27,Statistical Analysis Plan,"August 27, 2019",08/27/2019 12:46,
2968,NCT03638635,2019-08-14,Study Protocol and Statistical Analysis Plan,"September 26, 2018",04/17/2019 12:01,
2969,NCT03643159,2019-10-17,Study Protocol,"March 8, 2018",10/16/2019 20:04,
2970,NCT03643159,2019-10-17,Statistical Analysis Plan,"October 11, 2019",10/16/2019 20:07,
2971,NCT03657407,2019-03-10,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","January 18, 2017",03/10/2019 20:08,
2972,NCT03658811,2019-01-23,Study Protocol and Statistical Analysis Plan,"August 27, 2018",12/04/2018 13:52,
2973,NCT03681886,2020-12-08,Statistical Analysis Plan,"March 1, 2018",11/02/2020 12:38,
2974,NCT03681886,2020-12-08,Study Protocol,"January 7, 2016",11/02/2020 13:05,
2975,NCT03682809,2020-03-23,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","March 4, 2020",03/20/2020 16:51,
2976,NCT03700385,2020-09-02,Study Protocol and Statistical Analysis Plan,"March 11, 2019",09/02/2020 19:39,
2977,NCT03718143,2020-05-07,Study Protocol and Statistical Analysis Plan,"August 23, 2019",05/07/2020 13:00,
2978,NCT03722446,2020-09-12,Study Protocol and Statistical Analysis Plan,"October 4, 2018",09/11/2020 12:03,
2979,NCT03742440,2020-07-20,Study Protocol and Informed Consent Form,"February 11, 2019",07/20/2020 14:03,No Statistical Analysis Plan (SAP) exists for this study.
2980,NCT03756506,2020-02-25,Study Protocol,"October 10, 2018",10/17/2019 17:26,
2981,NCT03756506,2020-02-25,Statistical Analysis Plan,"December 23, 2019",02/25/2020 15:24,
2982,NCT03770442,2018-12-06,Study Protocol and Statistical Analysis Plan,"June 15, 2018",09/26/2018 09:10,
2983,NCT03783039,2020-12-01,Study Protocol,"September 3, 2019",12/01/2020 10:05,
2984,NCT03783039,2020-12-01,Statistical Analysis Plan,"July 24, 2020",12/01/2020 10:05,
2985,NCT03795675,2019-01-03,Study Protocol and Statistical Analysis Plan,"May 2, 2018",12/11/2018 16:07,
2986,NCT03808688,2020-08-03,Study Protocol,"December 18, 2018",07/28/2020 16:06,
2987,NCT03808688,2020-08-03,Statistical Analysis Plan,"August 15, 2019",07/28/2020 16:06,
2988,NCT03812328,2020-10-30,Study Protocol and Statistical Analysis Plan,"May 21, 2019",10/30/2020 19:25,
2989,NCT03822182,2020-08-29,Informed Consent Form,"November 19, 2019",08/29/2020 10:51,
2990,NCT03822182,2020-08-29,Study Protocol and Statistical Analysis Plan,"November 19, 2019",08/29/2020 10:52,
2991,NCT03834350,2019-10-23,Study Protocol and Statistical Analysis Plan,"September 27, 2019",10/22/2019 17:17,
2992,NCT03888144,2019-03-21,Study Protocol and Statistical Analysis Plan,"November 29, 2018",03/21/2019 12:49,
2993,NCT03922750,2020-12-11,Study Protocol,"May 28, 2020",12/11/2020 04:29,
2994,NCT03922750,2020-12-11,Statistical Analysis Plan,"May 28, 2020",12/11/2020 04:29,
2995,NCT03929367,2020-08-18,Informed Consent Form,"March 19, 2020",08/18/2020 11:20,
2996,NCT03938532,2019-05-02,Study Protocol and Statistical Analysis Plan,"October 15, 2018",04/24/2019 20:29,
2997,NCT03938532,2019-05-02,Informed Consent Form,"March 15, 2019",04/24/2019 20:31,
2998,NCT03940573,2019-05-03,Study Protocol,"March 1, 2019",05/02/2019 19:35,
2999,NCT03946124,2019-11-21,Informed Consent Form,"May 9, 2017",09/19/2019 12:28,
3000,NCT03946124,2019-11-21,Study Protocol and Statistical Analysis Plan,"March 29, 2018",09/19/2019 12:29,
3001,NCT03951610,2020-05-15,Study Protocol and Statistical Analysis Plan,"December 17, 2018",05/13/2020 19:12,
3002,NCT03977662,2019-06-04,Study Protocol and Statistical Analysis Plan,"December 27, 2018",05/24/2019 15:00,
3003,NCT04016259,2020-10-21,Study Protocol and Statistical Analysis Plan,"June 28, 2019",10/15/2020 17:22,
3004,NCT04242797,2020-01-23,Informed Consent Form,"June 22, 2016",01/21/2020 18:48,
3005,NCT04281875,2020-02-19,Informed Consent Form,"January 22, 2020",02/11/2020 22:58,
3006,NCT04284930,2020-12-13,Study Protocol and Statistical Analysis Plan,"December 12, 2015",12/13/2020 14:07,
3007,NCT04315298,2020-08-28,Informed Consent Form,"June 11, 2020",08/28/2020 12:10,
3008,NCT04329923,2020-11-18,Study Protocol,"June 23, 2020",11/13/2020 16:11,
3009,NCT04329923,2020-11-18,Statistical Analysis Plan,"June 23, 2020",11/18/2020 14:28,
3010,NCT04341441,2020-05-05,Study Protocol,"April 19, 2020",05/04/2020 11:36,
3011,NCT04401579,2020-08-11,Informed Consent Form,"June 4, 2020",08/11/2020 09:35,
3012,NCT04439214,2020-09-24,Study Protocol and Statistical Analysis Plan,"October 12, 2018",09/24/2020 15:02,
3013,NCT04439344,2020-08-29,Study Protocol and Statistical Analysis Plan,"May 16, 2018",08/28/2020 14:55,
3014,NCT04550429,2020-09-14,Study Protocol,"July 10, 2020",08/31/2020 08:37,
3015,NCT04550429,2020-09-14,Informed Consent Form,"July 10, 2020",08/31/2020 08:38,
3016,NCT04608500,2020-11-18,Study Protocol,"May 12, 2017",11/18/2020 00:43,
3017,NCT04608500,2020-11-18,Statistical Analysis Plan,"July 9, 2018",11/18/2020 00:48,
3018,NCT00116337,2020-03-31,Study Protocol,"June 27, 2011",02/07/2020 13:59,
3019,NCT00116337,2020-03-31,Statistical Analysis Plan,"June 27, 2011",02/07/2020 14:00,
3020,NCT00116337,2020-03-31,Informed Consent Form,"June 27, 2011",02/07/2020 14:00,
3021,NCT00255346,2019-05-02,Study Protocol and Statistical Analysis Plan,"July 18, 2011",04/09/2018 18:00,
3022,NCT00375830,2019-10-19,Informed Consent Form,"April 26, 2019",07/03/2019 17:28,
3023,NCT00375830,2019-10-19,Study Protocol and Statistical Analysis Plan,"June 28, 2017",10/09/2019 14:09,
3024,NCT00445601,2018-04-18,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","October 29, 2013",12/21/2017 15:38,
3025,NCT00550238,2019-05-29,Study Protocol,"July 16, 2010",04/02/2019 02:17,
3026,NCT00550238,2019-05-29,Statistical Analysis Plan,"August 5, 2014",04/02/2019 02:17,
3027,NCT00576680,2020-06-26,Study Protocol and Statistical Analysis Plan,"January 7, 2019",04/24/2020 11:42,
3028,NCT00588770,2018-08-17,Study Protocol and Statistical Analysis Plan,"September 9, 2016",07/31/2018 10:42,
3029,NCT00692276,2020-08-18,Study Protocol and Statistical Analysis Plan,"June 19, 2015",09/23/2019 17:47,
3030,NCT00786825,2019-12-05,Informed Consent Form,"April 8, 2014",12/05/2019 09:04,
3031,NCT00786825,2019-12-05,Study Protocol and Statistical Analysis Plan,"September 30, 2011",12/05/2019 09:10,
3032,NCT00789776,2018-06-14,Informed Consent Form,"April 14, 2016",03/21/2018 13:37,
3033,NCT00789776,2018-06-14,Study Protocol and Statistical Analysis Plan,"February 23, 2016",03/21/2018 13:38,
3034,NCT00853489,2018-03-13,Study Protocol and Statistical Analysis Plan,"January 2, 2013",02/13/2018 11:52,
3035,NCT00948922,2018-10-11,Study Protocol and Statistical Analysis Plan,"June 9, 2014",08/07/2018 10:02,
3036,NCT00987389,2020-05-19,Study Protocol and Statistical Analysis Plan,"November 19, 2015",10/18/2018 15:41,
3037,NCT01008462,2019-05-08,Study Protocol and Statistical Analysis Plan,"October 10, 2017",05/02/2019 12:31,
3038,NCT01011439,2018-10-15,Study Protocol,"March 9, 2017",05/22/2018 06:27,
3039,NCT01011439,2018-10-15,Statistical Analysis Plan: CDKO-125a-006_ALG_V1,"July 8, 2013",05/22/2018 08:05,
3040,NCT01011439,2018-10-15,Statistical Analysis Plan: CDKO-125a-006_TLG_V1,"July 8, 2013",05/22/2018 08:09,
3041,NCT01085630,2019-03-04,Study Protocol and Statistical Analysis Plan,"December 3, 2018",02/05/2019 12:00,
3042,NCT01088815,2019-04-02,Study Protocol and Statistical Analysis Plan,"December 4, 2014",10/12/2018 13:16,
3043,NCT01094301,2018-09-07,Study Protocol and Statistical Analysis Plan,"February 28, 2017",07/25/2018 13:26,
3044,NCT01129882,2019-12-17,Statistical Analysis Plan,"December 12, 2018",11/15/2019 14:00,
3045,NCT01129882,2019-12-17,Study Protocol,"July 8, 2015",11/15/2019 15:35,
3046,NCT01175980,2020-07-14,Study Protocol and Statistical Analysis Plan,"August 16, 2016",05/04/2020 11:47,
3047,NCT01215253,2018-05-24,Study Protocol,"September 5, 2014",05/24/2018 16:23,
3048,NCT01215253,2018-05-24,Statistical Analysis Plan,"January 4, 2017",05/24/2018 16:23,
3049,NCT01257737,2018-04-04,Study Protocol,"October 21, 2015",02/16/2018 10:09,
3050,NCT01257737,2018-04-04,Statistical Analysis Plan,"November 18, 2015",02/16/2018 10:10,
3051,NCT01260181,2018-09-26,Statistical Analysis Plan,"March 28, 2014",09/26/2018 10:12,
3052,NCT01260181,2018-09-26,Study Protocol,"February 12, 2014",09/26/2018 10:12,
3053,NCT01273207,2020-08-31,Study Protocol and Statistical Analysis Plan,"May 10, 2019",08/06/2020 17:43,
3054,NCT01277744,2019-09-12,Study Protocol and Statistical Analysis Plan,"November 14, 2013",09/10/2019 16:30,
3055,NCT01301521,2020-05-11,Study Protocol and Statistical Analysis Plan,"January 24, 2018",05/11/2020 12:09,
3056,NCT01301521,2020-05-11,Informed Consent Form,"January 24, 2018",05/11/2020 12:10,
3057,NCT01315132,2019-09-27,Study Protocol and Statistical Analysis Plan,"September 13, 2017",08/29/2019 17:02,
3058,NCT01322490,2019-07-16,Statistical Analysis Plan,"June 29, 2015",07/05/2019 13:18,
3059,NCT01322490,2019-07-16,Study Protocol,"February 8, 2017",07/15/2019 08:41,
3060,NCT01348490,2020-01-17,Study Protocol,"August 9, 2013",12/13/2019 11:05,
3061,NCT01348490,2020-01-17,Statistical Analysis Plan,"January 17, 2012",12/13/2019 11:06,
3062,NCT01367444,2020-05-19,Study Protocol,"November 29, 2018",05/19/2020 08:53,
3063,NCT01367444,2020-05-19,Statistical Analysis Plan,"September 16, 2019",05/19/2020 08:55,
3064,NCT01396486,2020-04-06,Study Protocol and Statistical Analysis Plan,"March 2, 2018",04/06/2020 16:46,
3065,NCT01432171,2018-11-27,Study Protocol and Statistical Analysis Plan,"May 30, 2014",06/20/2018 15:51,
3066,NCT01446159,2018-07-31,Study Protocol,"July 25, 2016",06/06/2018 03:33,
3067,NCT01446159,2018-07-31,Statistical Analysis Plan,"June 14, 2011",06/06/2018 03:34,
3068,NCT01467466,2019-05-03,Statistical Analysis Plan,"August 26, 2016",09/28/2018 07:58,
3069,NCT01467466,2019-05-03,Study Protocol,"May 1, 2019",05/03/2019 11:36,
3070,NCT01478581,2019-03-19,Study Protocol,"April 18, 2016",03/19/2019 11:25,
3071,NCT01478581,2019-03-19,Statistical Analysis Plan,"June 17, 2016",03/19/2019 11:26,
3072,NCT01482715,2020-11-12,Study Protocol,"June 29, 2016",03/25/2020 06:09,
3073,NCT01482715,2020-11-12,Statistical Analysis Plan,"May 10, 2019",03/25/2020 06:09,
3074,NCT01488097,2018-06-22,Study Protocol,"January 5, 2016",06/18/2018 11:41,
3075,NCT01488097,2018-06-22,Statistical Analysis Plan,"May 16, 2017",06/18/2018 11:42,
3076,NCT01541215,2018-11-15,Study Protocol,"April 3, 2017",11/15/2018 03:53,
3077,NCT01541215,2018-11-15,Statistical Analysis Plan,"June 25, 2018",11/15/2018 03:53,
3078,NCT01560923,2020-03-20,Study Protocol and Statistical Analysis Plan,"September 30, 2015",02/24/2020 17:21,
3079,NCT01567462,2017-11-09,Study Protocol and Statistical Analysis Plan,"February 13, 2015",08/31/2017 09:56,
3080,NCT01572922,2019-04-26,Study Protocol and Statistical Analysis Plan,"January 11, 2016",03/01/2019 00:24,
3081,NCT01619085,2018-07-02,Study Protocol,"March 28, 2017",06/28/2018 04:53,
3082,NCT01619085,2018-07-02,Statistical Analysis Plan,"July 25, 2017",06/28/2018 04:54,
3083,NCT01628159,2020-03-31,Study Protocol and Statistical Analysis Plan,"March 26, 2012",03/13/2020 15:18,
3084,NCT01659021,2019-08-05,Study Protocol,"August 30, 2017",07/23/2019 20:43,
3085,NCT01659021,2019-08-05,Statistical Analysis Plan,"September 29, 2014",07/23/2019 20:44,
3086,NCT01667419,2019-07-11,Study Protocol,"October 24, 2017",07/11/2019 11:12,
3087,NCT01667419,2019-07-11,Statistical Analysis Plan,"March 17, 2017",07/11/2019 11:12,
3088,NCT01700049,2019-05-01,Study Protocol and Statistical Analysis Plan,"January 21, 2017",03/21/2019 09:56,
3089,NCT01709747,2019-04-23,Study Protocol,"August 1, 2016",04/09/2019 12:15,
3090,NCT01709747,2019-04-23,Statistical Analysis Plan,"February 4, 2019",04/09/2019 12:17,
3091,NCT01727089,2018-05-25,Study Protocol and Statistical Analysis Plan,"September 23, 2014",04/24/2018 09:12,
3092,NCT01728805,2019-03-20,Study Protocol,"May 31, 2018",09/25/2018 12:45,
3093,NCT01728805,2019-03-20,Statistical Analysis Plan,"November 22, 2016",09/25/2018 13:02,
3094,NCT01730534,2019-12-11,Study Protocol,"September 25, 2016",09/09/2019 02:59,
3095,NCT01730534,2019-12-11,Statistical Analysis Plan,"May 31, 2018",09/09/2019 02:59,
3096,NCT01741454,2018-07-18,Study Protocol and Statistical Analysis Plan,"July 17, 2017",06/21/2018 17:18,
